"Orlando Magic","2021-02-27","ORL vs. UTA","L",124,109,44,96,0.458,14,34,0.412,7,8,0.875,7,30,37,27,4,6,3
"Miami Heat","2021-02-26","MIA vs. UTA","W",116,124,44,86,0.512,14,30,0.467,22,25,0.88,11,39,50,24,15,5,1,
"Los Angeles Lakers","2021-02-24","LAL @ UTA","L",114,89,34,85,0.4,8,33,0.242,13,20,0.65,12,33,45,17,14,5,4
"Charlotte Hornets","2021-02-22","CHA @ UTA","L",132,110,41,89,0.461,11,36,0.306,17,21,0.81,8,27,35,18,16,13,2
"LA Clippers","2021-02-19","LAC vs. UTA","W",112,116,43,89,0.483,10,30,0.333,20,22,0.909,11,34,45,22,11,5,4,
"LA Clippers","2021-02-17","LAC vs. UTA","L",114,96,38,86,0.442,9,26,0.346,11,17,0.647,9,38,47,18,17,5,2,
"Philadelphia 76ers","2021-02-15","PHI @ UTA","L",134,123,47,94,0.5,8,23,0.348,21,24,0.875,12,30,42,19,12,6,4,
"Miami Heat","2021-02-13","MIA @ UTA","L",112,94,35,86,0.407,12,36,0.333,12,17,0.706,8,35,43,24,17,11,3,
"Milwaukee Bucks","2021-02-12","MIL @ UTA","L",129,115,42,92,0.457,12,33,0.364,19,27,0.704,6,27,33,19,10,8,6,
"Boston Celtics","2021-02-09","BOS @ UTA","L",122,108,38,86,0.442,13,29,0.448,19,23,0.826,11,24,35,18,9,2,2,
"Indiana Pacers","2021-02-07","IND vs. UTA","L",103,95,37,93,0.398,8,29,0.276,13,18,0.722,8,37,45,23,9,9,6,
"Charlotte Hornets","2021-02-05","CHA vs. UTA","L",138,121,48,104,0.462,11,35,0.314,14,17,0.824,14,26,40,26,7,9,2,
"Atlanta Hawks","2021-02-04","ATL vs. UTA","L",112,91,32,98,0.327,9,31,0.29,18,19,0.947,18,31,49,19,11,8,1,
"Detroit Pistons","2021-02-02","DET @ UTA","L",117,105,39,93,0.419,9,27,0.333,18,20,0.9,12,34,46,18,15,7,5,
"Denver Nuggets","2021-01-31","DEN vs. UTA","W",117,128,47,87,0.54,18,28,0.643,16,19,0.842,7,32,39,28,8,8,2,
"Dallas Mavericks","2021-01-29","DAL @ UTA","L",120,101,37,86,0.43,9,33,0.273,18,27,0.667,8,32,40,20,11,6,4,
"Dallas Mavericks","2021-01-27","DAL @ UTA","L",116,104,42,91,0.462,12,35,0.343,8,9,0.889,4,32,36,22,8,4,7,
"New York Knicks","2021-01-26","NYK @ UTA","L",108,94,36,83,0.434,10,27,0.37,12,17,0.706,9,35,44,15,12,6,4,
"Golden State Warriors","2021-01-23","GSW @ UTA","L",127,108,42,93,0.452,14,39,0.359,10,15,0.667,4,31,35,30,11,6,8,
"New Orleans Pelicans","2021-01-21","NOP @ UTA","L",129,118,42,85,0.494,11,25,0.44,23,30,0.767,10,31,41,27,18,9,2,
"New Orleans Pelicans","2021-01-19","NOP @ UTA","L",118,102,43,95,0.453,6,26,0.231,10,15,0.667,10,28,38,17,8,8,3,
"Denver Nuggets","2021-01-17","DEN vs. UTA","L",109,105,40,100,0.4,14,37,0.378,11,15,0.733,23,29,52,25,10,6,6,
"Atlanta Hawks","2021-01-15","ATL @ UTA","L",116,92,38,92,0.413,5,28,0.179,11,15,0.733,8,33,41,21,15,6,
"Cleveland Cavaliers","2021-01-12","CLE vs. UTA","L",117,87,35,90,0.389,8,31,0.258,9,14,0.643,12,28,40,23,14,7,4,
"Detroit Pistons","2021-01-10","DET vs. UTA","L",96,86,29,87,0.333,10,42,0.238,18,21,0.857,11,28,39,21,8,10,
"Milwaukee Bucks","2021-01-08","MIL vs. UTA","L",131,118,44,98,0.449,13,42,0.31,17,21,0.81,9,36,45,18,12,5,5,
"New York Knicks","2021-01-06","NYK vs. UTA","W",100,112,45,87,0.517,8,22,0.364,14,19,0.737,11,37,48,22,13,10,5,
"Brooklyn Nets","2021-01-05","BKN vs. UTA","W",96,130,52,93,0.559,14,36,0.389,12,16,0.75,8,43,51,31,13,11,5,
"San Antonio Spurs","2021-01-03","SAS vs. UTA","L",130,109,44,105,0.419,6,19,0.316,15,21,0.714,14,31,45,23,7,13,4,
"LA Clippers","2021-01-01","LAC @ UTA","L",106,100,33,85,0.388,13,33,0.394,21,24,0.875,12,31,43,19,10,6,8,
"Phoenix Suns","2020-12-31","PHX @ UTA","W",95,106,41,84,0.488,17,33,0.515,7,10,0.7,5,36,41,26,15,5,6,
"Oklahoma City Thunder","2020-12-28","OKC vs. UTA","L",110,109,40,86,0.465,15,38,0.395,14,19,0.737,7,30,37,21,17,9,5,
"Minnesota Timberwolves","2020-12-26","MIN @ UTA","W",111,116,45,101,0.446,13,29,0.448,13,18,0.722,12,28,40,21,10,9,5,
"Portland Trail Blazers","2020-12-23","POR vs. UTA","L",120,100,37,92,0.402,12,33,0.364,14,17,0.824,6,34,40,23,6,6,3,
